Model_Type,Pathway,Exposure,Mediator,Outcome,Z_Covars_Used,G_Covars_Used,Weight_Col_Used,Contrast_X0,Contrast_X1,Contrast_Delta,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
RetiSEM_GAM,"LBXTR -> Artery_Vessel_density -> BPXSY2 | Z,G",LBXTR,Artery_Vessel_density,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,0.062076030036589847,-0.1234755305866801,0.22902234258385493,False,0.7,4055,10
RetiSEM_GAM,"LBXTR -> Artery_Fractal_dimension -> BPXSY2 | Z,G",LBXTR,Artery_Fractal_dimension,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,0.05317450056687545,-0.08128026793348243,0.1943723837723123,False,0.7,4055,10
RetiSEM_GAM,"LBXTR -> Artery_Average_width -> BPXSY2 | Z,G",LBXTR,Artery_Average_width,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,0.01196852080163444,-0.08640260428942435,0.14804929772583242,False,0.5,4055,10
RetiSEM_GAM,"LBXTR -> Artery_Tortuosity_density -> BPXSY2 | Z,G",LBXTR,Artery_Tortuosity_density,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,-0.013611685103843035,-0.12246828807604439,0.1601738132399839,False,0.6,4055,10
RetiSEM_GAM,"LBXTR -> Artery_Distance_tortuosity -> BPXSY2 | Z,G",LBXTR,Artery_Distance_tortuosity,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,0.0048059586141688294,-0.06157502711619364,0.07000705306998734,False,0.6,4055,10
RetiSEM_GAM,"LBXTR -> Vein_Tortuosity_density -> BPXSY2 | Z,G",LBXTR,Vein_Tortuosity_density,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,-0.006229461309729669,-0.13344822082765284,0.09580163181832321,False,0.5,4055,10
RetiSEM_GAM,"LBXTR -> Vein_Distance_tortuosity -> BPXSY2 | Z,G",LBXTR,Vein_Distance_tortuosity,BPXSY2,RIDAGEYR|RIAGENDR|RIDRETH1|INDFMPIR|DMDEDUC3,GREF_AMR|GREF_EUR|GREF_SAS|GREF_entropy,WTMEC2YR,-2.6594637096558045,4.251772125239209,6.911235834895013,-0.6954250095592452,-1.8062376684137051,0.1456132018218121,-0.6251919073595668,-1.6482632424357209,0.22437110190862755,-0.008483426757238888,-0.06440501959652642,0.04513064057587515,False,0.6,4055,10
